adresse,postnummer,by,pris,type,kvm,vaerelser,byggeaar,energimaerke,liggetid,afstand_m,afstand_vindm_m,afstand_sol_m,lat,lng,url
Mamrelund 37,6960,Hvide Sande,3795000,Fritidshus,132,4.0,2013,-,482,1.8,1231.0,199.0,55.99797,8.13349,https://www.boliga.dk/adresse/mamrelund-37-6960-hvide-sande-237689851
Skakkes Holm 64J,8500,Grenaa,1995000,Fritidshus,84,3.0,1997,E,1092,8.7,3056.0,1722.0,56.40551,10.92552,https://www.boliga.dk/adresse/skakkes-holm-64j-8500-grenaa-1630415685
Sct Hansgade 14 st,5600,Faaborg,3495000,Villa/Parcelhus,179,7.0,1902,c,182,8.9,7417.0,9964.0,55.09154,10.24805,https://www.boliga.dk/adresse/sct-hansgade-14-st-5600-faaborg-9424041
Skakkes Holm 64C,8500,Grenaa,2095000,Fritidshus,84,3.0,1997,-,13,9.2,3038.0,1692.0,56.40568,10.9251,https://www.boliga.dk/adresse/skakkes-holm-64c-8500-grenaa-313375042
"Øerkrogvejen 2 388, Øer Maritime Ferieby",8400,Ebeltoft,1695000,Fritidshus,62,3.0,1988,-,55,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-388-8400-ebeltoft-542344549
Øerkrogvejen 2 520,8400,Ebeltoft,2295000,Fritidshus,89,3.0,1988,-,76,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-520-8400-ebeltoft-1409230027
"Øerkrogvejen 2, 665.",8400,Ebeltoft,1695000,Fritidshus,63,3.0,1988,-,316,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-665-8400-ebeltoft-451292690
Øerkrogvejen 2 151a,8400,Ebeltoft,4495000,Fritidshus,80,1.0,1988,-,53,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-151-8400-ebeltoft-174018637
Øerkrogvejen 2 102,8400,Ebeltoft,1595000,Fritidshus,62,3.0,1988,-,505,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-102-8400-ebeltoft-262427857
"Øerkrogvejen 2, 253.",8400,Ebeltoft,1550000,Fritidshus,58,4.0,1988,-,0,9.6,1062.0,7603.0,56.15224,10.69275,https://www.boliga.dk/adresse/oeerkrogvejen-2-253-8400-ebeltoft-1213859262
